modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
MixedModels,aligncompact,false,false,0,1,Any,"Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/varcorr.jl,22
MixedModels,unscaledre!,false,false,0,1,"AbstractArray{Float64,1}","MersenneTwister,AbstractArray{Float64,1},ReMat{Float64,S}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/simulate.jl,179
GLM,fit!,true,true,0,1,"GLM.GeneralizedLinearModel{GLM.GlmResp{Array{Float64,1},Poisson{Float64},LogLink},GLM.DensePredChol{Float64,CholeskyPivoted{Float64,Array{Float64,2}}}}","GLM.GeneralizedLinearModel{GLM.GlmResp{Array{Float64,1},Poisson{Float64},LogLink},GLM.DensePredChol{Float64,CholeskyPivoted{Float64,Array{Float64,2}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/GLM/5CcRd/src/glmfit.jl,345
DataAPI,refpool,true,true,0,1,Nothing,"Array{Union{Missing, Int64},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/DataAPI/o4TFz/src/DataAPI.jl,70
MixedModels,#fit#49,false,false,0,1,LinearMixedModel,"Array{Any,1},Dict{Symbol,Any},Bool,Bool,typeof(fit),Type{LinearMixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,Term,FunctionTerm{typeof(|),var""#31#62"",(:s,)},FunctionTerm{typeof(|),var""#32#63"",(:d,)},InteractionTerm{Tuple{Term,Term}}}},NamedTuple{names,T} where T<:Tuple{Vararg{AbstractArray{S,D} where S,N}} where names where D where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,194
MixedModels,_rand,false,false,3,1,Any,"LehmerRNG,Distributions.Distribution,Any,Missing,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/simulate.jl,126
MixedModels,ranef,false,false,0,1,"Array{T,1} where T",GeneralizedLinearMixedModel{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/generalizedlinearmixedmodel.jl,552
GLM,fit,false,false,0,1,GLM.GeneralizedLinearModel,"Type{GLM.GeneralizedLinearModel},Union{Array{T,2} where T, SparseMatrixCSC},AbstractArray{T,1} where T,Distributions.Distribution{Distributions.Univariate,S} where S<:Distributions.ValueSupport,LogitLink",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/GLM/5CcRd/src/glmfit.jl,491
MixedModels,#GeneralizedLinearMixedModel#80,false,false,24,1,GeneralizedLinearMixedModel,"Array{Any,1},Array{Any,1},Dict{Symbol,Any},Type{GeneralizedLinearMixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,Term,Term,FunctionTerm{typeof(|),var""#583#592"",(:urban, :dist)}}},NamedTuple{(:dist, :urban, :livch, :age, :use),Tuple{Arrow.DictEncoded{String,Int8,Arrow.List{String,Int32,Array{UInt8,1}}},Arrow.DictEncoded{String,Int8,Arrow.List{String,Int32,Array{UInt8,1}}},Arrow.DictEncoded{String,Int8,Arrow.List{String,Int32,Array{UInt8,1}}},Arrow.DictEncoded{Float64,Int8,Arrow.Primitive{Float64,Array{Float64,1}}},Arrow.DictEncoded{String,Int8,Arrow.List{String,Int32,Array{UInt8,1}}}}},Poisson{Float64},LogLink",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/generalizedlinearmixedmodel.jl,333
MixedModels,#fit#50,false,false,0,1,LinearMixedModel,"Array{Any,1},Dict{Symbol,Any},Bool,Bool,typeof(fit),Type{MixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,FunctionTerm{typeof(|),var""#98#102"",(:A, :G)},FunctionTerm{typeof(|),var""#99#103"",(:A, :H)}}},NamedTuple{(:Y, :A, :G, :H),Tuple{Array{Float64,1},PooledArray{String,UInt32,1,Array{UInt32,1}},PooledArray{String,UInt32,1,Array{UInt32,1}},PooledArray{String,UInt32,1,Array{UInt32,1}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,208
MixedModels,fit,false,false,0,1,LinearMixedModel,"Type{MixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,Term,Term,FunctionTerm{typeof(|),var""#35#66"",(:subj,)},FunctionTerm{typeof(|),var""#36#67"",(:prec, :item)},InteractionTerm{Tuple{Term,Term}},InteractionTerm{Tuple{Term,Term}},InteractionTerm{Tuple{Term,Term}},InteractionTerm{Tuple{Term,Term,Term}}}},Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,208
PooledArrays,refpool,true,true,0,1,"Array{Union{Missing, Int64},1}","PooledArray{Union{Missing, Int64},UInt32,1,Array{UInt32,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/PooledArrays/CV8kA/src/PooledArrays.jl,198
MixedModels,_ranef_refs,false,false,0,1,"Tuple{Any,Array{_A,1} where _A}","InteractionTerm{var""#s46""} where var""#s46""<:Tuple{Vararg{CategoricalTerm,N}},NamedTuple{(:Thickness, :Lot, :Wafer),Tuple{Array{Float64,1},Array{String,1},Array{String,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/randomeffectsterm.jl,111
MixedModels,shorttype,true,true,0,1,String,"Diagonal{Float64,Array{Float64,1}},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/blockdescription.jl,43
MixedModels,statsqr,true,true,0,1,"QRPivoted{Float64,Array{Float64,2}}","Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linalg/pivot.jl,53
MixedModels,_ranef_refs,false,false,0,1,"Tuple{Any,Array{T,1} where T}","CategoricalTerm,NamedTuple{(:rt_trunc, :spkr, :prec, :load, :subj, :item),Tuple{Array{Int16,1},Array{String,1},Array{String,1},Array{String,1},Array{String,1},Array{String,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/randomeffectsterm.jl,105
MixedModels,fixef!,false,false,2,1,"AbstractArray{T,1} where T","AbstractArray{T,1},LinearMixedModel{T}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,427
MixedModels,#PCA#30,true,true,0,1,MixedModels.PCA{Float64},"Bool,Type{MixedModels.PCA},ReMat{Float64,4}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/remat.jl,405
MixedModels,#parametricbootstrap#116,false,false,18,1,MixedModelBootstrap,"AbstractArray{T,1} where T,Int64,AbstractArray{T,1} where T,Bool,typeof(parametricbootstrap),LehmerRNG,Int64,GeneralizedLinearMixedModel{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/bootstrap.jl,57
MixedModels,GHnorm,false,false,0,1,MixedModels.GaussHermiteNormalized,Int64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/gausshermite.jl,80
MixedModels,allequal,true,true,1,2,Bool,"Tuple{Bool,Bool}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/utilities.jl,13
MixedModels,#replicate#4,false,false,8,1,Any,"Bool,typeof(replicate),MixedModels.var""#117#119""{Float64,Random._GLOBAL_RNG,Int64,Int64,Tuple{Symbol},Array{LinearMixedModel{Float64},1},Array{Array{Float64,1},1},Array{Array{Float64,1},1},ReentrantLock},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/utilities.jl,122
DataAPI,refpool,false,false,0,1,"Array{T,1} where T","Union{SubArray{T,N,var""#s16"",I,L} where L where I where var""#s16""<:(PooledArray{T,R,N,RA} where RA where N), PooledArray{T,R,N,RA} where RA} where R where N where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/DataAPI/o4TFz/src/DataAPI.jl,70
MixedModels,fname,true,false,0,1,Symbol,"ReMat{Float64,S} where S",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/remat.jl,117
MixedModels,refit!,true,true,0,1,LinearMixedModel{Float64},LinearMixedModel{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,752
MixedModels,rowlengths,true,true,0,1,"Array{Float64,1}","ReMat{Float64,S} where S",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/remat.jl,454
MixedModels,_ranef_refs,false,false,0,1,"Tuple{Any,Array{_A,1} where _A}","InteractionTerm{var""#s46""} where var""#s46""<:Tuple{Vararg{CategoricalTerm,N}},NamedTuple{(:use, :age, :urban, :livch, :dist),Tuple{Array{String,1},Array{Float64,1},Array{String,1},Array{String,1},Array{String,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/randomeffectsterm.jl,111
MixedModels,_ranef_refs,true,true,0,1,"Tuple{Array{Int32,1},Array{String,1}}","CategoricalTerm{DummyCoding,String,9},NamedTuple{(:strength, :batch, :cask),Tuple{Array{Float64,1},Array{String,1},Array{String,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/randomeffectsterm.jl,105
Distributions,fit,true,true,0,0,Union{},"Type{Union{}},AbstractArray{var""#s33"",2} where var""#s33""<:AbstractFloat,Any,Distributions.Distribution{Distributions.Univariate,S} where S<:Distributions.ValueSupport,LogLink",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/Distributions/Xrm9e/src/genericfit.jl,34
MixedModels,#GeneralizedLinearMixedModel#80,false,false,24,1,GeneralizedLinearMixedModel,"Array{Float64,1},Array{Any,1},Dict{Symbol,Any},Type{GeneralizedLinearMixedModel},FormulaTerm{FunctionTerm{typeof(/),var""#1#10"",(:incid, :hsz)},Tuple{ConstantTerm{Int64},Term,FunctionTerm{typeof(|),var""#2#11"",(:herd,)}}},NamedTuple{names,T} where T<:Tuple{Vararg{AbstractArray{S,D} where S,N}} where names where D where N,Binomial{Float64},LogitLink",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/generalizedlinearmixedmodel.jl,333
MixedModels,fit,false,false,0,1,GeneralizedLinearMixedModel,"Type{MixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,Term,Term,FunctionTerm{typeof(abs2),var""#455#457"",(:age,)},FunctionTerm{typeof(|),var""#456#458"",(:dist,)}}},Arrow.Table,Bernoulli{Float64},LogitLink",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/generalizedlinearmixedmodel.jl,224
MixedModels,dataset,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/utilities.jl,147
MixedModels,fname,true,true,0,1,Symbol,"ReMat{Float64,9}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/remat.jl,117
MixedModels,#fit#49,false,false,0,1,LinearMixedModel,"Array{Any,1},Dict{Symbol,Any},Bool,Bool,typeof(fit),Type{LinearMixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,FunctionTerm{typeof(|),var""#578#587"",(:days, :subj)}}},NamedTuple{(:subj, :days, :reaction),Tuple{Arrow.DictEncoded{String,Int8,Arrow.List{String,Int32,Array{UInt8,1}}},Arrow.Primitive{Int8,Array{Int8,1}},Arrow.Primitive{Float64,Array{Float64,1}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,194
MixedModels,#LinearMixedModel#46,false,false,0,1,LinearMixedModel,"Dict{Symbol,Any},Array{Any,1},Type{LinearMixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,FunctionTerm{typeof(|),var""#557#566"",(:days, :subj)}}},Arrow.Table",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,43
MixedModels,_dname,true,true,0,1,String,LinearMixedModel{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/mdshow.jl,86
MixedModels,#fit#48,false,false,0,1,LinearMixedModel,"Any,Any,Bool,Bool,typeof(fit),Type{LinearMixedModel},FormulaTerm,NamedTuple",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,176
MixedModels,reweight!,true,true,2,1,"ReMat{Float64,2}","ReMat{Float64,2},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/remat.jl,413
MixedModels,issingular,false,false,0,1,Any,GeneralizedLinearMixedModel{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/mixedmodel.jl,16
MixedModels,updateL!,true,false,29,1,LinearMixedModel{Float64},LinearMixedModel{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,934
MixedModels,nranef,true,true,0,1,Int64,"ReMat{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/remat.jl,108
StatsBase,aic,false,false,0,1,Any,LinearMixedModel{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/StatsBase/DU1bT/src/statmodels.jl,192
MixedModels,setθ!,true,false,6,1,MixedModelBootstrap{Float64},"MixedModelBootstrap{Float64},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/bootstrap.jl,214
MixedModels,#LinearMixedModel#47,false,false,6,1,LinearMixedModel,"Dict{Symbol,Any},Array{Any,1},Type{LinearMixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,FunctionTerm{typeof(|),var""#560#569"",(:subj,)}}},NamedTuple{names,T} where T<:Tuple{Vararg{AbstractArray{S,D} where S,N}} where names where D where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,50
MixedModels,#PCA#12,true,true,2,1,MixedModels.PCA{Float64},"Bool,Type{MixedModels.PCA},LowerTriangular{Float64,Array{Float64,2}},Array{String,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/utilities.jl,198
MixedModels,lmulΛ!,true,true,0,1,"SparseMatrixCSC{Float64,Int32}","Adjoint{Float64,ReMat{Float64,1}},SparseMatrixCSC{Float64,Int32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/remat.jl,204
MixedModels,#LinearMixedModel#47,false,false,6,1,LinearMixedModel,"Dict{Symbol,Any},Array{Any,1},Type{LinearMixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},FunctionTerm{typeof(|),var""#206#207"",(:subj,)}}},NamedTuple{names,T} where T<:Tuple{Vararg{AbstractArray{S,D} where S,N}} where names where D where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,50
MixedModels,fname,true,true,0,1,Symbol,"CategoricalTerm{DummyCoding,String,23}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/remat.jl,118
MixedModels,#LinearMixedModel#47,false,false,6,1,LinearMixedModel,"Dict{Symbol,Any},Array{Float64,1},Type{LinearMixedModel},FormulaTerm{FunctionTerm{typeof(/),var""#1#10"",(:incid, :hsz)},Tuple{ConstantTerm{Int64},Term,FunctionTerm{typeof(|),var""#2#11"",(:herd,)}}},NamedTuple{(:herd, :period, :incid, :hsz),Tuple{Arrow.DictEncoded{String,Int8,Arrow.List{String,Int32,Array{UInt8,1}}},Arrow.DictEncoded{String,Int8,Arrow.List{String,Int32,Array{UInt8,1}}},Arrow.Primitive{Int8,Array{Int8,1}},Arrow.Primitive{Int8,Array{Int8,1}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,50
MixedModels,_ranef_refs,true,true,0,1,"Tuple{Array{Int32,1},Array{String,1}}","CategoricalTerm{DummyCoding,String,6},NamedTuple{(:a, :b, :c),Tuple{Array{Float64,1},Array{Float64,1},PooledArray{String,UInt32,1,Array{UInt32,1}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/randomeffectsterm.jl,105
MixedModels,_ranef_refs,false,false,0,1,"Tuple{Any,Array{_A,1} where _A}","InteractionTerm{var""#s46""} where var""#s46""<:Tuple{Vararg{CategoricalTerm,N}},NamedTuple{(:r2, :anger, :gender, :btype, :situ, :subj, :item),Tuple{Array{String,1},Array{Int8,1},Array{String,1},Array{String,1},Array{String,1},Array{String,1},Array{String,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/randomeffectsterm.jl,111
GLM,fit,false,false,0,1,GLM.GeneralizedLinearModel,"Type{GLM.GeneralizedLinearModel},Array{var""#s33"",2} where var""#s33""<:AbstractFloat,AbstractArray{T,1} where T,Distributions.Distribution{Distributions.Univariate,S} where S<:Distributions.ValueSupport,LogLink",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/GLM/5CcRd/src/glmfit.jl,491
DataAPI,levels,false,false,5,1,Any,"Array{T,1} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/DataAPI/o4TFz/src/DataAPI.jl,119
MixedModels,fit,false,false,0,1,LinearMixedModel,"Type{MixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,FunctionTerm{typeof(|),var""#49#80"",(:days, :subj)}}},Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,208
MixedModels,fit,false,false,0,1,GeneralizedLinearMixedModel{T} where T<:AbstractFloat,"Type{MixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,Term,Term,Term,FunctionTerm{typeof(|),var""#8#17"",(:subj,)},FunctionTerm{typeof(|),var""#9#18"",(:item,)}}},Arrow.Table,Bernoulli{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/generalizedlinearmixedmodel.jl,224
SparseArrays,sparse,true,false,13,2,"SparseMatrixCSC{Int8,Int32}","Array{Int32,1},Array{Int32,1},Array{Int8,1},Int64,Int64,Function",/build/source/usr/share/julia/stdlib/v1.5/SparseArrays/src/sparsematrix.jl,668
MixedModels,#GeneralizedLinearMixedModel#78,false,false,0,1,GeneralizedLinearMixedModel,"Array{Any,1},Array{Any,1},Dict{Symbol,Any},Type{GeneralizedLinearMixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,FunctionTerm{typeof(|),var""#445#449"",(:days, :subj)}}},NamedTuple,InverseGaussian{Float64},GLM.InverseSquareLink",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/generalizedlinearmixedmodel.jl,314
MixedModels,nlevs,false,false,0,1,Any,"ReMat{Float64,S} where S",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/remat.jl,159
MixedModels,scaleinflate!,true,true,8,1,"Array{Float64,2}","Array{Float64,2},ReMat{Float64,4}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/remat.jl,495
MixedModels,fit!,true,true,0,1,LinearMixedModel{Float64},LinearMixedModel{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,361
MixedModels,dof,true,false,0,1,Int64,GeneralizedLinearMixedModel,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/generalizedlinearmixedmodel.jl,149
MixedModels,fit,false,false,0,1,LinearMixedModel,"Type{MixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,FunctionTerm{typeof(|),var""#338#343"",(:days, :subj)}}},Arrow.Table",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,208
MixedModels,#GeneralizedLinearMixedModel#80,false,false,24,1,GeneralizedLinearMixedModel,"Any,Any,Any,Type{GeneralizedLinearMixedModel},FormulaTerm,NamedTuple{names,T} where T<:Tuple{Vararg{AbstractArray{S,D} where S,N}} where names where D where N,Normal,SqrtLink",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/generalizedlinearmixedmodel.jl,333
MixedModels,ssqdenom,true,true,1,2,Int64,LinearMixedModel{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,863
MixedModels,#allequal#3,true,true,0,1,Bool,"typeof(isequal),typeof(allequal),Array{String,1},Array{String,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/utilities.jl,19
MixedModels,#fit#48,false,false,0,1,LinearMixedModel,"Array{Any,1},Dict{Symbol,Any},Bool,Bool,typeof(fit),Type{LinearMixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,Term,Term,FunctionTerm{typeof(|),var""#35#66"",(:subj,)},FunctionTerm{typeof(|),var""#36#67"",(:prec, :item)},InteractionTerm{Tuple{Term,Term}},InteractionTerm{Tuple{Term,Term}},InteractionTerm{Tuple{Term,Term}},InteractionTerm{Tuple{Term,Term,Term}}}},NamedTuple",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,176
DataAPI,levels,true,true,5,1,"Array{String,1}","PooledArray{String,UInt32,1,Array{UInt32,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/DataAPI/o4TFz/src/DataAPI.jl,119
MixedModels,coefnames,false,false,0,1,Any,GeneralizedLinearMixedModel{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/generalizedlinearmixedmodel.jl,740
MixedModels,#LinearMixedModel#47,false,false,6,1,LinearMixedModel,"Dict{Symbol,Any},Array{Any,1},Type{LinearMixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term,FunctionTerm{typeof(|),var""#576#585"",(:days, :subj)}}},NamedTuple{names,T} where T<:Tuple{Vararg{AbstractArray{S,D} where S,N}} where names where D where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,50
MixedModels,#parametricbootstrap#116,false,false,18,1,MixedModelBootstrap,"Array{Float64,1},Missing,Array{Float64,1},Bool,typeof(parametricbootstrap),LehmerRNG,Int64,GeneralizedLinearMixedModel{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/bootstrap.jl,57
MixedModels,stderror!,true,false,3,1,"Array{Float64,1}","Array{Float64,1},GeneralizedLinearMixedModel{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/generalizedlinearmixedmodel.jl,679
MixedModels,unscaledre!,true,true,0,1,"Array{Float64,1}","LehmerRNG,Array{Float64,1},ReMat{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/simulate.jl,185
Distributions,fit,true,false,0,0,Union{},"Type{D<:Distributions.Distribution},SparseMatrixCSC,Any,Distributions.Distribution{Distributions.Univariate,S} where S<:Distributions.ValueSupport,LogLink",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/Distributions/Xrm9e/src/genericfit.jl,34
MixedModels,parametricbootstrap,false,false,0,1,MixedModelBootstrap,"LehmerRNG,Int64,GeneralizedLinearMixedModel{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/bootstrap.jl,57
MixedModels,#LinearMixedModel#47,false,false,6,1,LinearMixedModel,"Dict{Symbol,Any},Array{Any,1},Type{LinearMixedModel},FormulaTerm{Term,Tuple{ConstantTerm{Int64},FunctionTerm{typeof(|),var""#575#584"",(:days, :subj)}}},NamedTuple{names,T} where T<:Tuple{Vararg{AbstractArray{S,D} where S,N}} where names where D where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/linearmixedmodel.jl,50
MixedModels,fname,true,false,0,1,Symbol,InteractionTerm,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/MixedModels/rx3PO/src/remat.jl,119
StatsModels,fit,false,false,0,1,"StatsModels.TableRegressionModel{_A,_B} where _B where _A","Type{T<:GLM.AbstractGLM},FormulaTerm,Any,Distributions.Distribution{Distributions.Univariate,S} where S<:Distributions.ValueSupport,LogitLink",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/MixedModels/depot/packages/StatsModels/JZLpf/src/statsmodel.jl,78
