modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
AbstractPlotting,#plot#814,true,false,0,0,Union{},"NamedTuple{(),Tuple{}},NamedTuple{(),Tuple{}},Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(plot),Type{Combined{AbstractPlotting.lines,ArgType} where ArgType},Interval{:closed,:closed,Int64},Vararg{Any,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/figureplotting.jl,16
AbstractPlotting,calculated_attributes!,true,false,7,2,"Union{Nothing, Observable{_A} where _A}","Type{Combined{AbstractPlotting.linesegments,Tuple{Array{Point{3,Float32},1}}}},Combined{AbstractPlotting.linesegments,Tuple{Array{Point{3,Float32},1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,336
AbstractPlotting.MakieLayout,#_#9,true,true,0,0,Union{},"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Type{Button},Scene",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/makielayout/layoutables.jl,48
AbstractPlotting,plot!,false,false,0,1,Any,"Scene,Type{Combined{AbstractPlotting.linesegments,ArgType} where ArgType},Attributes,HyperRectangle{3,Float32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,590
AbstractPlotting,#contour#374,true,true,1,0,Union{},"Base.Iterators.Pairs{Symbol,Any,Tuple{Symbol,Symbol},NamedTuple{(:levels, :color),Tuple{Array{Float64,1},Symbol}}},typeof(contour),Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/recipes.jl,11
AbstractPlotting,same_length_array,true,true,0,1,Base.Iterators.Take{Base.Iterators.Repeated{RGBA{Float32}}},"Array{Tuple{String,Point{3,Float32}},1},RGBA{Float32},AbstractPlotting.Key{:color}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/utilities/utilities.jl,186
AbstractPlotting,plot!,true,true,0,0,Union{},"Type{Combined{AbstractPlotting.text,ArgType} where ArgType},Scene,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,564
Observables,to_value,true,true,0,1,"ReferenceTests.var""#f#220""","Observable{ReferenceTests.var""#f#220""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/Observables/Yf3xU/src/Observables.jl,278
AbstractPlotting,events,true,true,0,1,Events,Scene,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/scenes.jl,409
AbstractPlotting,plot,true,false,0,0,Union{},"Type{Combined{AbstractPlotting.lines,ArgType} where ArgType},Interval{:closed,:closed,Int64},Vararg{Any,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/figureplotting.jl,16
AbstractPlotting,#convert_arguments#206,true,false,3,1,Tuple{},"Base.Iterators.Pairs{_A,_B,_C,_D} where _D where _C where _B where _A,typeof(convert_arguments),Type{Combined{AbstractPlotting.text,Tuple{}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/conversions.jl,40
AbstractPlotting,is2d,true,true,0,1,Bool,"HyperRectangle{3,Float32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/scenes.jl,513
AbstractPlotting,plotfunc,true,false,0,1,typeof(AbstractPlotting.volume),"Type{Combined{AbstractPlotting.volume,_A}} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/types.jl,149
AbstractPlotting,conversion_trait,true,true,0,1,AbstractPlotting.NoConversion,"Type{Combined{AbstractPlotting.annotations,Tuple{Array{Tuple{String,Point{2,Float32}},1}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/conversions.jl,31
AbstractPlotting,#plot!#195,false,false,16,1,Any,"Base.Iterators.Pairs,typeof(plot!),Scene,Type{Combined{AbstractPlotting.lines,ArgType} where ArgType},Attributes,HyperRectangle{2,Float32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,590
AbstractPlotting,#map_once#56,false,false,3,1,Observable{_A} where _A,"Any,DataType,typeof(map_once),AbstractPlotting.var""#597#598""{Observable{Vec{2,Float32}}},Observable{Vec{3,Float32}},Observable{Vec{3,Float32}},Observable{Quaternion{Float32}},Observable{Vec{2,Float32}},Observable,Observable{Tuple{Bool,Bool,Bool}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interaction/nodes.jl,70
AbstractPlotting,calculated_attributes!,false,false,0,1,Any,"Combined{AbstractPlotting.scatter,Tuple{Array{Point{3,Float32},1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,36
AbstractPlotting,theme,false,false,0,1,Any,"Combined{AbstractPlotting.mesh,Tuple{Array{GeometryBasics.Mesh{2,Float32,GeometryBasics.Ngon{2,Float32,3,Point{2,Float32}},FaceView{GeometryBasics.Ngon{2,Float32,3,Point{2,Float32}},Point,Face,P,F} where F<:AbstractArray{Face,1} where P<:AbstractArray{Point,1} where Face<:AbstractFace where Point<:AbstractPoint},1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/scenes.jl,358
AbstractPlotting.MakieLayout,get_topscene,true,true,0,1,Scene,Figure,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/makielayout/layoutables.jl,74
AbstractPlotting,cameracontrols!,false,false,0,1,"Array{_A,1} where _A","Scene,Array{_A,1} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/scenes.jl,418
AbstractPlotting,scatter,true,true,0,0,Union{},"Array{Float64,1},LinRange{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/recipes.jl,11
AbstractPlotting,lines,true,true,0,0,Union{},"StepRangeLen{Float64,Base.TwicePrecision{Float64},Base.TwicePrecision{Float64}},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/recipes.jl,11
AbstractPlotting,plotsym,false,false,0,1,Any,"Type{Combined{AbstractPlotting.volume,_A}} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,361
PlotUtils,cgrad,true,true,0,1,PlotUtils.ContinuousColorGradient,"ColorSchemes.ColorScheme{Array{RGB{Float64},1},String,String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/PlotUtils/n4I4Q/src/colorschemes.jl,230
AbstractPlotting,plotsym,false,false,0,1,Any,"Type{Combined{_A,_B}} where _B where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,361
AbstractPlotting,#plot!#191,false,false,0,1,"Combined{AbstractPlotting.text,_A} where _A","Base.Iterators.Pairs{Symbol,Any,NTuple{8,Symbol},NamedTuple{(:align, :model, :position, :color, :visible, :textsize, :font, :rotation),Tuple{Vec{2,Float32},SArray{Tuple{4,4},Float32,2,16},Array{Point{3,Float32},1},Array{RGBA{Float32},1},Observable{Any},Array{Float32,1},Array{FreeTypeAbstraction.FTFont,1},Array{Quaternion{Float32},1}}}},typeof(plot!),Type{Combined{AbstractPlotting.text,ArgType} where ArgType},Combined{AbstractPlotting.annotations,Tuple{Array{Tuple{String,Point{2,Float32}},1}}},Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,564
PlotUtils,cgrad,true,true,0,1,PlotUtils.ContinuousColorGradient,"ColorSchemes.ColorScheme{Array{RGBA{FixedPointNumbers.Normed{UInt8,8}},1},String,String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/PlotUtils/n4I4Q/src/colorschemes.jl,230
AbstractPlotting,lift,false,false,0,1,Observable{_A} where _A,"AbstractPlotting.var""#196#198""{_A} where _A,Observables.AbstractObservable,Vararg{Any,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interaction/nodes.jl,10
AbstractPlotting,transformationmatrix,true,true,0,1,"SArray{Tuple{4,4},Float32,2,16}","Vec{3,Float32},Vec{3,Float32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/camera/projection_math.jl,201
AbstractPlotting,#plot!#194,false,false,0,1,Any,"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(plot!),Scene,Type{Combined{AbstractPlotting.surface,Tuple{StepRangeLen{Float64,Base.TwicePrecision{Float64},Base.TwicePrecision{Float64}},StepRangeLen{Float64,Base.TwicePrecision{Float64},Base.TwicePrecision{Float64}},ReferenceTests.var""#f#220""}}},Any,Tuple{Observable{StepRangeLen{Float64,Base.TwicePrecision{Float64},Base.TwicePrecision{Float64}}},Observable{StepRangeLen{Float64,Base.TwicePrecision{Float64},Base.TwicePrecision{Float64}}},Observable{ReferenceTests.var""#f#220""}},Observable{_A} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/recipes.jl,15
AbstractPlotting,plot!,false,false,0,1,"Combined{AbstractPlotting.scatter,_A} where _A","Combined{AbstractPlotting.wireframe,_A} where _A<:Tuple{Distributions.QQPair,L} where L,Type{Combined{AbstractPlotting.scatter,ArgType} where ArgType},Attributes,Observable{_A} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,734
AbstractPlotting,draw_axis3d,true,false,20,1,Nothing,"Any,Any,Any,Any,Any,Vararg{Any,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/basic_recipes/axis.jl,218
AbstractPlotting,#lines!#140,false,false,1,2,"Combined{AbstractPlotting.lines,_A} where _A","Base.Iterators.Pairs{Symbol,_A,NTuple{4,Symbol},_B} where _B where _A,typeof(lines!),Combined{AbstractPlotting.streamplot,_A} where _A,Observable{_A} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/recipes.jl,15
AbstractPlotting,calculated_attributes!,true,false,7,2,"Union{Nothing, Observable{_A} where _A}","Type{T} where T<:(Combined{AbstractPlotting.lines,_A} where _A),Combined{AbstractPlotting.lines,_A} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,336
AbstractPlotting,#convert_arguments#231,false,false,2,1,Any,"Base.Iterators.Pairs{_A,_B,_C,_D} where _D where _C where _B where _A,typeof(convert_arguments),Type{Combined{AbstractPlotting.mesh,_A}} where _A,Function,Vararg{Any,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/conversions.jl,612
AbstractPlotting,#surface#135,true,false,1,0,Union{},"Base.Iterators.Pairs{Symbol,Array{RGBA{Float32},2},Tuple{Symbol},NamedTuple{(:color,),Tuple{Array{RGBA{Float32},2}}}},typeof(surface),StepRangeLen{Float64,Base.TwicePrecision{Float64},Base.TwicePrecision{Float64}},Vararg{Any,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/recipes.jl,11
AbstractPlotting,broadcast_foreach,true,false,5,2,Nothing,"Function,UnitRange{Int64},Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/utilities/utilities.jl,148
AbstractPlotting,plottype,true,true,0,1,"Type{Combined{AbstractPlotting.wireframe,ArgType} where ArgType}","Type{Combined{AbstractPlotting.wireframe,ArgType} where ArgType}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,493
AbstractPlotting,to_font,true,true,0,1,"Array{FreeTypeAbstraction.FTFont,1}","Array{FreeTypeAbstraction.FTFont,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/conversions.jl,15
AbstractPlotting,color_and_colormap!,true,true,3,2,Bool,"Combined{AbstractPlotting.lines,Tuple{Array{Point{2,Float32},1}}},Observable{Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,274
AbstractPlotting,#text!#160,false,false,1,1,"Combined{AbstractPlotting.text,_A} where _A","Base.Iterators.Pairs{Symbol,Any,NTuple{8,Symbol},NamedTuple{(:align, :model, :position, :color, :visible, :textsize, :font, :rotation),Tuple{Vec{2,Float32},SArray{Tuple{4,4},Float32,2,16},Array{Point{3,Float32},1},Array{RGBA{Float32},1},Observable{Any},Array{Float32,1},Array{FreeTypeAbstraction.FTFont,1},Array{Quaternion{Float32},1}}}},typeof(text!),Combined{AbstractPlotting.annotations,Tuple{Array{Tuple{String,Point{3,Float32}},1}}},Vararg{Any,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/recipes.jl,15
AbstractPlotting,on,false,false,3,1,Function,"Function,Camera,Observable{Tuple{Float64,Float64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/camera/camera.jl,44
AbstractPlotting,conversion_trait,true,true,0,1,AbstractPlotting.PointBased,"Type{Combined{AbstractPlotting.lines,Tuple{HyperSphere{2,Float32}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/conversions.jl,35
AbstractPlotting,lift,false,false,0,1,Observable{_A} where _A,"AbstractPlotting.MakieLayout.var""#160#191""{_A,Observable{Array{Tuple{String,Point{2,Float32}},1}},_B} where _B where _A,Observables.AbstractObservable,Any,Any,Any,Any,Any,Observable{_A} where _A,Any,Any,Any,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interaction/nodes.jl,10
AbstractPlotting,value_convert,true,true,0,1,"Observable{Tuple{AbstractPlotting.Automatic,AbstractPlotting.Automatic}}","Tuple{AbstractPlotting.Automatic,AbstractPlotting.Automatic}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/dictlike.jl,33
Observables,to_value,true,true,0,1,Float32,Observable{Float32},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/Observables/Yf3xU/src/Observables.jl,278
AbstractPlotting,plot!,false,false,0,1,"Combined{AbstractPlotting.text,_A} where _A","Combined{AbstractPlotting.annotations,Tuple{Array{Tuple{String,Point{3,Float32}},1}}},Type{Combined{AbstractPlotting.text,ArgType} where ArgType},Attributes,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,734
AbstractPlotting,plot!,false,false,0,1,"Combined{AbstractPlotting.lines,_A} where _A","Type{Combined{AbstractPlotting.lines,ArgType} where ArgType},Combined{AbstractPlotting.streamplot,_A} where _A,Observable{_A} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,564
AbstractPlotting,#poly#488,true,true,1,0,Union{},"Base.Iterators.Pairs{Symbol,Any,Tuple{Symbol,Symbol,Symbol},NamedTuple{(:color, :strokecolor, :strokewidth),Tuple{Array{Float64,1},Tuple{Symbol,Float64},Int64}}},typeof(poly),Array{Float64,2},Array{Int64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/recipes.jl,11
AbstractPlotting,apply_convert!,false,false,3,1,"Tuple{Type{Combined{AbstractPlotting.contour3d,_A}} where _A,Tuple}","Type{Combined{AbstractPlotting.contour3d,_A}} where _A,Attributes,PlotSpec{S}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,396
AbstractPlotting,merged_get!,true,false,1,1,Attributes,"AbstractPlotting.var""#187#189""{_A,_B} where _B where _A,Any,Combined{AbstractPlotting.contour3d,_A} where _A,Attributes",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/utilities/utilities.jl,207
AbstractPlotting,default_labels,false,false,2,2,"Union{Array{String,1}, Array{Union{},1}}","Array{Float64,1},typeof(AbstractPlotting.Formatters.plain)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/basic_recipes/axis.jl,162
AbstractPlotting,transformation,false,false,0,1,Any,"Combined{AbstractPlotting.lines,_A} where _A<:Tuple{X,Y} where Y where X",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/layouting/transformation.jl,92
AbstractPlotting,used_attributes,true,false,0,1,Tuple{Symbol},"Type{Combined{AbstractPlotting.volume,_A}} where _A,Distributions.QQPair,Vararg{Any,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/stats/distributions.jl,66
AbstractPlotting.MakieLayout,get_ticks,false,false,1,1,"Tuple{Any,Any}","Tuple{Any,Any},AbstractPlotting.Automatic,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/makielayout/lineaxis.jl,424
AbstractPlotting.MakieLayout,_layoutable,true,true,0,0,Union{},"Type{Menu},Scene",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/makielayout/layoutables.jl,66
AbstractPlotting,node_any,true,true,2,1,Observable{Any},Bool,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/dictlike.jl,42
AbstractPlotting,merged_get!,true,false,1,1,Attributes,"AbstractPlotting.var""#187#189""{_A,_B} where _B where _A,Any,Combined{AbstractPlotting.surface,_A} where _A<:Tuple{Distributions.QQPair,L} where L,Attributes",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/utilities/utilities.jl,207
AbstractPlotting,one_attribute_per_char,false,false,0,1,"Base.Generator{_A,AbstractPlotting.var""#620#621""{FreeTypeAbstraction.FTFont}} where _A","Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/layouting/layouting.jl,3
AbstractPlotting.MakieLayout,get_ticks,false,false,0,1,"Tuple{Any,Any}","MultiplesTicks,AbstractPlotting.Automatic,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/makielayout/lineaxis.jl,483
AbstractPlotting,#lift#55,false,false,0,1,Observable{_A} where _A,"Any,Any,Symbol,typeof(lift),AbstractPlotting.var""#597#598""{Observable{Vec{2,Float32}}},Observable{Vec{3,Float32}},Observable{Vec{3,Float32}},Observable{Quaternion{Float32}},Observable{Vec{2,Float32}},Observable,Observable{Tuple{Bool,Bool,Bool}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interaction/nodes.jl,10
AbstractPlotting,#lift#55,false,false,0,1,Observable{_A} where _A,"Any,DataType,Symbol,typeof(lift),AbstractPlotting.var""#105#107""{Symbol,Scene},Observable",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interaction/nodes.jl,10
AbstractPlotting,lift,false,false,0,1,Observable{_A} where _A,"AbstractPlotting.MakieLayout.var""#136#167"",Observable{_A} where _A,Any,Observable{_A} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interaction/nodes.jl,10
AbstractPlotting,#lift#55,true,true,0,1,"Observable{Array{Array{Point{2,Float32},1},1}}","Array{Array{Point{2,Float32},1},1},Type{Array{Array{Point{2,Float32},1},1}},Symbol,typeof(lift),AbstractPlotting.var""#182#184""{Int64},Observable{Tuple{Array{Array{Point{2,Float32},1},1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interaction/nodes.jl,10
AbstractPlotting,plot!,false,false,0,1,"Combined{AbstractPlotting.linesegments,_A} where _A","Combined{AbstractPlotting.wireframe,Tuple{T}} where T,Type{Combined{AbstractPlotting.linesegments,ArgType} where ArgType},Attributes,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,734
AbstractPlotting,theme,false,false,0,1,Any,"Combined{AbstractPlotting.annotations,_A} where _A,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/scenes.jl,358
AbstractPlotting,plot!,false,false,0,1,Any,"Type{Any},Scene,Type{Combined{AbstractPlotting.streamplot,Tuple{Interval{:closed,:closed,Float64},Interval{:closed,:closed,Float64},Interval{:closed,:closed,Float64}}}},Any,Tuple{Observable{Interval{:closed,:closed,Float64}},Observable{Interval{:closed,:closed,Float64}},Observable{Interval{:closed,:closed,Float64}}},Observable{_A} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interfaces.jl,564
Observables,to_value,true,true,0,1,LinRange{Float64},LinRange{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/Observables/Yf3xU/src/Observables.jl,279
AbstractPlotting,#append!#366,true,false,0,1,Nothing,"Any,Any,typeof(append!),Combined{AbstractPlotting.linesegments,ArgType} where ArgType,Array{Point{N,Float32},1} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/basic_recipes/buffers.jl,17
AbstractPlotting,attributes_from,true,false,4,1,Attributes,"Type{Combined{AbstractPlotting.lines,ArgType} where ArgType},Combined{AbstractPlotting.text,_A} where _A<:Tuple{Distributions.QQPair,L} where L",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/utilities/utilities.jl,328
AbstractPlotting,lift,true,true,0,1,"Observable{Tuple{Array{Point{3,Float64},1}}}","typeof(tuple),Observable{Array{Point{3,Float64},1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/interaction/nodes.jl,10
AbstractPlotting,argument_names,true,false,0,1,"Tuple{Symbol,Symbol,Symbol}","Type{Combined{AbstractPlotting.surface,_A}} where _A<:Tuple{X,Y} where Y where X,Integer",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/recipes.jl,137
AbstractPlotting,transformation,false,false,0,1,Any,"Combined{AbstractPlotting.linesegments,_A} where _A<:Tuple{Arg1} where Arg1",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/layouting/transformation.jl,92
Observables,to_value,true,true,0,1,"Array{Point{3,Float64},1}","Observable{Array{Point{3,Float64},1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/Observables/Yf3xU/src/Observables.jl,278
AbstractPlotting,#plot!#194,false,false,0,1,Any,"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(plot!),Scene,Type{Combined{AbstractPlotting.scatter,Tuple{Array{Point{3,Float64},1}}}},Any,Tuple{Observable{Array{Point{3,Float64},1}}},Observable{_A} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/AbstractPlotting/depot/packages/AbstractPlotting/3blWv/src/recipes.jl,15
